iso3_country,emissions_quantity_sum_norm,emissions_change_norm,distance
KWT,-0.050480746485282654,0.08912427873306478,6.263956558509469
LAO,-0.16692681594410047,0.10399919387025637,6.380963659527652
LBN,-0.18249545647869425,0.07285827227049187,6.38987714927039
LBR,-0.2047590648405901,0.07315926863914163,6.411749552662752
LBY,-0.12970016269381848,0.06455239950315657,6.336489565169227
LCA,-0.20468812069867443,0.07293148760340668,6.411634477297583
LIE,-0.2057630786750922,0.07300063541782621,6.412701544462365
LKA,-0.17469982627572966,0.08763556696379704,6.385225975569982
LTU,-0.20211819486217877,0.07378159896891749,6.40928667037158
LUX,-0.20461974699668325,0.07221560434823968,6.411424328895061
LVA,-0.19993743363024946,0.07239457516203142,6.406872415245712
MAF,-0.20469994472232703,0.07339518471186712,6.411738828532988
MAR,-0.120513410403725,0.09926053482327026,6.3345707374572005
MCO,-0.2057090994366781,0.07300063541782621,6.412648655844091
MDA,-0.1900217045775733,0.07418835081844419,6.397517210540796
MDG,-0.20186680583756458,0.07322434893506591,6.4089288136294424
MDV,-0.20397302431168393,0.07309825586171262,6.410967197058241
MEX,0.4309307779148606,0.049901197883204663,5.785199337261937
MHL,-0.20524847660221118,0.07300063541782621,6.412197340374163
MKD,-0.19433387459488188,0.06851009499905139,6.400605496452789
MLI,-0.200370295713532,0.07664919950808076,6.40814912410923
MLT,-0.20295101739771046,0.07232949486610715,6.409812070877441
MMR,-0.17397547630501103,0.09490829003333452,6.385998345210357
MNE,-0.20137019684415494,0.07273217919713859,6.4083437556979
MNG,-0.17958109169231823,0.08110719977889344,6.388683458531601
MNP,-0.20459609894937802,0.07300063541782621,6.4115581469570415
MOZ,-0.1992973940890538,0.07532725599711897,6.4068328164851085
MRT,-0.20216086416492515,0.07527031073818523,6.409626723198291
MSR,-0.20571424031652705,0.07297623030685461,6.41264881182068
MTQ,-0.20090905992170313,0.07391989459775657,6.40812972347833
MUS,-0.19645397344459342,0.0721017138303722,6.403400813004084
MWI,-0.20499605940162718,0.07278912445607233,6.4119077201141454
MYS,0.16474989971124715,0.13115801486315443,6.062723329513828
MYT,-0.20425063182352785,0.07300063541782621,6.4112196626297795
NAM,-0.20556978159277126,0.07311045841719842,6.412534119163591
NCL,-0.19792118055348693,0.07408259533756725,6.405235018343636
NER,-0.20448351368068576,0.0729152175294256,6.4114307508091875
NGA,-0.16083230288315709,0.06853856762851826,6.367787816778494
NIC,-0.19389073075190144,0.07438359170621701,6.401346747454864
NIU,-0.2057630786750922,0.07300063541782621,6.412701544462365
NLD,-0.03957539806168148,0.014635812529239386,6.238244519287462
NOR,-0.20022223837388192,0.06926665343917107,6.40652636099138
NRU,-0.20568031050952393,0.07300877045481675,6.41262207562799
